geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36081037501,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.601093948704386e-09,0.0,1.0859039430863377e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479
36103190713,0.0,0.0,0.0,0.0,0.0,9.991607499961165e-13,0.0,2.0815466965007823e-11,8.8673477735508e-07,0.0,4.075287584047629e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245
36049950200,0.0,2.0,4.0,0.0,0.0,5.2297497350103744e-12,0.0,2.1630859795018404e-11,2.222034996520529e-06,0.0,2.7177435356570984e-06,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4506
36029013103,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.63892540502315e-12,2.4115421690423494e-07,0.0,3.067096650433708e-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4541
36059980100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003883845023099e-11,6.058402947646853e-08,0.0,1.4210854715202003e-20,0.0,0.0,0.0,2.0,17.0,0.0,0.0,939
36085022801,0.0,1.0,0.0,0.0,0.0,0.0,6.7695666356442e-08,2.8105018895990035e-10,2.0021946682092638e-07,0.0,2.7701542243732108e-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95
36027110003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.728929293135208e-07,0.0,7.726522837002159e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780
36067002700,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.932934711827052e-08,0.0,6.695932777242683e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819
36005000400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.726945468702005e-08,2.0645342270023027e-11,7.747207663037803e-08,0.0,1.0,0.0,3.0,1.0,0.0,0.0,6272
36045061802,0.0,0.0,0.0,0.0,0.0,2.0089063779991048e-11,3.4743712468442185e-08,0.0,3.892117349361357e-07,0.0,5.926444936129512e-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3406
36055002700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.436797983315684e-08,0.0,5.2915174955997446e-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1477
36081001400,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7079249274380928e-08,0.0,6.450762981452206e-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4114
36071014502,0.0,5.0,1.0,0.0,0.0,0.0,0.0,9.720305252491231e-11,1.5766893394746405e-06,2.378864124352837e-10,1.212877124356693e-06,0.0,1.0,1.0,5.0,2.0,0.0,0.0,5624
36047118400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.862550863885565e-08,0.0,6.555403173351158e-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5434
36073401300,0.0,0.0,0.0,0.0,0.0,0.0,5.660285202042139e-07,0.0,1.0063535025799252e-06,0.0,1.6954636566526838e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4564
36059982100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.303248103001774e-11,9.06161602259648e-08,0.0,1.4057056967770833e-07,0.0,0.0,0.0,3.0,17.0,3.0,0.0,883
36071014202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.612604290695164e-07,0.0,7.44229682282669e-07,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6801
36103146706,0.0,1.0,0.0,0.0,0.0,0.0,1.1893917673683118e-07,0.0,7.69881738649988e-08,2.5280127654491865e-10,1.3144009743492558e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2582
36081016800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1917111294417637e-08,0.0,8.558180702783957e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764
36089491800,0.0,2.0,0.0,0.0,0.0,0.0,1.894543116904333e-07,6.489563514997693e-12,1.6972552636069112e-06,0.0,2.814635652127455e-06,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4472
36047047400,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.464422999929109e-14,2.4144917515838364e-09,2.5073016650106585e-12,2.7182377672926793e-08,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3232
36081061800,0.0,4.0,0.0,1.0,0.0,0.0,5.248885549903125e-12,0.0,4.949646150381399e-08,8.366705925036276e-12,5.9536832567393336e-08,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1736
