geoid_o,geoid_d,pop_flows
36029005100,36029990000,17.0
36081028100,36119009300,12.0
36119010804,36061017900,23.0
36083052103,36083051902,18.0
36119008200,36047004500,20.0
36087010803,36119009702,25.0
36119009300,36081116700,19.0
36119009300,36001000600,19.0
36119008200,36119009000,40.0
36119014908,36119008700,12.0
36119008301,36119009400,41.0
36119010804,36061023300,23.0
36119008901,36119009702,421.0
36033950501,36089491600,17.0
36119008200,36119010801,20.0
36119008200,36119008901,20.0
36005031200,36119008700,21.0
36089492600,36089491400,159.0
36119009100,36119007401,24.0
36059302400,36119008200,14.0
36119009702,36119012301,16.0
36119010804,36119981000,23.0
36113070900,36115090000,45.0
36119010803,36119009703,24.0
36119008901,36103112102,24.0
36119007500,36119008200,39.0
36119009400,36119003400,19.0
36071014102,36119985000,17.0
36119009702,36119010702,16.0
36047094401,36119009400,22.0
36027190203,36119009500,9.0
36119010300,36119008200,27.0
36119010803,36119011102,24.0
