STATE,geoid,LOCATION,AREA_SQMI,svi
NY,36059407302,New York,6.629802654545431e-11,0.676
NY,36059407401,New York,4.444030081760035e-11,0.7041
NY,36083052102,New York,4.577315511284182e-09,0.3541
NY,36083052103,New York,6.579189753986939e-09,0.1158
NY,36083052201,New York,3.5781400401535698e-09,0.1014
NY,36037950200,New York,6.591403854269578e-09,0.5455
NY,36083052303,New York,2.2590715838064603e-10,0.2314
NY,36083052402,New York,1.2388190797865133e-09,0.1626
NY,36059404500,New York,4.320485916698917e-11,0.2107
NY,36059404700,New York,6.369458960135351e-11,0.0829
NY,36059404800,New York,1.219835141360722e-10,0.6492
NY,36059404902,New York,2.60684800082686e-11,0.5286
NY,36059405000,New York,7.378433061801046e-11,0.634
NY,36059405100,New York,6.891993403004066e-11,0.1571
NY,36059405200,New York,3.727763825230375e-11,0.4484
NY,36059405301,New York,3.922864158121125e-11,0.333
NY,36059405302,New York,4.272798342848094e-11,0.1702
NY,36059416201,New York,5.579629064064647e-10,0.3465
NY,36059416500,New York,5.920932239741722e-11,0.7709
NY,36059416701,New York,3.8515629334441093e-11,0.3852
NY,36059416900,New York,2.940319984115515e-09,0.2094
NY,36059517000,New York,4.2619661952536715e-10,0.4896
NY,36059517101,New York,1.338921797441616e-10,0.4425
NY,36033950502,New York,5.070137576677159e-09,0.4027
NY,36043011502,New York,8.302664748487783e-08,0.5111
NY,36109000500,New York,2.2480644721597595e-10,0.4221
NY,36109000800,New York,5.769362899620112e-11,0.6163
NY,36107020102,New York,5.504108029083118e-09,0.2386
NY,36107020101,New York,7.483906463293257e-09,0.3792
NY,36019103512,New York,3.0547866140897975e-08,0.5528
NY,36019104200,New York,1.8370988968019e-08,0.5277
NY,36019103800,New York,3.161995056118834e-08,0.1565
NY,36055014602,New York,2.2319595949961087e-09,0.4276
NY,36059407501,New York,6.325795225497446e-11,0.8154
NY,36059407502,New York,5.44021509521691e-11,0.5054
NY,36059407600,New York,8.297497212349946e-11,0.2424
NY,36059414001,New York,5.83824527248995e-11,0.645
NY,36059302800,New York,9.093904672593576e-11,0.1322
NY,36059416702,New York,4.925984992076004e-11,0.1795
NY,36059410100,New York,8.303389958990524e-11,0.0141
NY,36059520402,New York,5.423058517710068e-11,0.3957
NY,36059406300,New York,5.846542199061871e-11,0.0688
NY,36059404600,New York,4.22494267949012e-11,0.1439
NY,36059517801,New York,1.0672608211701674e-09,0.0424
NY,36059407802,New York,2.1258611833592082e-11,0.4771
NY,36059407700,New York,2.448924410206596e-10,0.2253
NY,36059407801,New York,8.328197070407368e-11,0.0531
NY,36059407900,New York,7.97439707801324e-11,0.5436
NY,36059408000,New York,7.897346755945095e-11,0.115
NY,36063022100,New York,7.452264548018114e-11,0.298
NY,36059517901,New York,2.2482476041992389e-10,0.0605
NY,36067010301,New York,3.7945091447657826e-10,0.1166
NY,36067010321,New York,1.475464410658627e-10,0.0135
NY,36067010322,New York,2.0185924376811916e-10,0.0038
NY,36059518300,New York,1.7738052889926677e-10,0.1369
NY,36083052503,New York,1.0226170988457886e-10,0.4373
NY,36083052602,New York,7.654239465628967e-11,0.062
NY,36083052603,New York,6.367076139749683e-09,0.208
NY,36059405400,New York,6.771974889749561e-11,0.3499
NY,36059405500,New York,5.139326366463895e-11,0.1881
NY,36059405600,New York,4.350765155233821e-11,0.2841
NY,36059405700,New York,6.227669680199293e-11,0.1422
NY,36111955300,New York,1.0486267672377147e-08,0.6248
